4|80A45998, A10000157EC0D3|000008322073560|00804410637D|IPG/8110E|770263| 65-800902
6|8044C9B7, A10000157E50C9|310008038637235|00804411108E|IPG/8100E|868315| 65-800907
11|80FE3447, A100001574C597|310005052667350|00804411344B|IPG/8100E|856229| 65-800907
15|A1000009420AB1, 807BCD6C|310009172559181|0080440E9691|IPG/7710|680921|65-800832-2-00
17|801A6097, A10000157E357B|310009172816280|0080440FE283|IPG/8100E|749313| 65-800901
18|803AF11F, A10000157EC8CA|310008322071913|008044102E96|IPG/8110E|767876| 65-800902
20|807CE84E, A1000012C291DC|310004049847843|00804411AC82|IPG/8101E|895468| 65-800940
23|806223B8, A10000157E3593|000009172747519|0080440FFB2A|IPG/8100E|749271| 65-800901
24|80B80DDD, A10000157EC0D8|310008624229387|00804410632D|IPG/8110E|770335| 65-800902
27|A100000941E39D, 80534FC5|310009174978389|0080440E969A|IPG/7710|681329|65-800832-2-00
28|802F917A, A10000157E3C61|310009172339519|0080441012DD|IPG/8100E|760138| 65-800901
29|A100000943D39E, 80FAB0FE|310009172833496|0080440FC3D6|IPG/7700|730990| 65-800872
30|A100000941AAA8, 8068D9EF|310009172339763|0080440EB0EF|IPG/7710|668562|65-800832-2-00
31|80F82F0D, A10000157ED027|310009137127464|008044103212|IPG/8110E|775440| 65-800902
33|8043027C, A10000157E5E20|310009137042717|0080441071DB|IPG/8100E|777074| 65-800901
34|80C9E819, A1000012C24C44|310004049599573|00804410B491|IPG/8100E|791172| 65-800907
36|80D7D6C4, A10000157E3729|310006467659096|0080440FED4B|IPG/8100E|743126| 65-800901
37|A100000942DBD2, 809C93D2|310003157153410|0080440F2171|IPG/7710|695366|65-800832-2-00
38|80061257, A1000012C2136A|310004049678666|008044106D48|IPG/8110E|773824| 65-800908
40|8013C37E, A1000012C29048|000008033353453|00804411B14B|IPG/8110E|895811| 65-800908
41|A10000094262AE, 808BC3FE|310009175489463|0080440EFF16|IPG/7710|688336|65-800832-2-00
49|807FEB7B, A10000157EBA96|310009137046050|008044102B51|IPG/8110E|767936| 65-800902
50|A1000009413F5C, 805EA126|310009172557138|0080440E7225|IPG/7710|698282|65-800832-2-00
51|A100000942611B, 80C7A359|310009175486323|0080440EFF09|IPG/7710|688318|65-800832-2-00
53|A1000009410B56, 80288C7A|310009172294921|0080440E7CB6|IPG/7710|654740|65-800832-2-00
57|A1000009408841, 80791829|310007812280722|0080440E5993|IPG/7710|627789|65-800832-2-00
62|A100000942C674, 80D37EEA|310006464259910|0080440F34ED|IPG/7710|699473|65-800832-2-00
64|A100000942622F, 804D5FDC|310009173348705|0080440E7606|IPG/7710|688234|65-800832-2-00
65|80F83DAA, A1000012C20B57|310004048950999|0080441041BC|IPG/8110E|765005| 65-800908
68|A100000942DECB, 8065DB2C|310009172559513|0080440F3A3E|IPG/7710|699908|65-800832-2-00
69|A100000942615C, 809ADAF1|310006463735577|0080440F0012|IPG/7710|688501|65-800832-2-00
70|80CF81FC, A1000036981FA6|310009413381725|0080441124DB|IPG/8110E|857627| 65-800908
71|A1000009422567, 8014075A|310009172209348|0080440EA42A|IPG/7700|687782| 65-800872
78|804CE186, A10000157F26A9|310009172712060|0080440FEFED|IPG/8100E|732758| 65-800901
80|8059AA7A, A10000157E3A9D|310003157150272|0080441018AD|IPG/8100E|760590| 65-800901
81|8098741E, A10000369BEE02|310005052664453|008044114270|IPG/8100E|872955| 65-800907
83|A1000009426291, 80A2B77E|310006462215069|0080440EFF2C|IPG/7710|688385|65-800832-2-00
88|8047731C, A10000369C0364|000008062738342|0080441114A1|IPG/8110E|867757| 65-800908
90|80E00E9A, A10000157E348D|310009172747516|0080440FF5EE|IPG/8100E|749073| 65-800901
91|8065995D, A10000157E3A0F|310009172202367|008044101892|IPG/8100E|760586| 65-800901
95|80599965, A10000369C0917|310008062731332|0080441146A7|IPG/8110E|873990| 65-800908
97|A1000009420AAD, 8077378D|310009173076145|0080440F0181|IPG/7710|680902|65-800832-2-00
98|80EF585B, A1000015771DBB|310007153281035|0080440FE3D6|IPG/8100E|767084| 65-800901
93|A1000009457D00, 80AA2619|310005743836386|0080441019CD|IPG/7710|759918|65-800832-2-00
100|80C76036, A10000157E3A40|310007812298861|008044101366|IPG/8100E|760328| 65-800901
101|803C866B, A100001578B005|310004049613705|008044110C57|IPG/8110E|859053| 65-800908
102|802CF591, A10000157E3700|310009174963400|0080440FEE63|IPG/8100E|743211| 65-800901
