TRANS_NUMBER,TRANS_ENTRY_SEQ_ID,TRANS_TYPE,TRANS_DATE,SALES_ORDER_NUMBER,PRODUCT_ID,TRANS_ENTRY_AMOUNT,POSTED_DATE,INVOICE_ID,ROLE_TYPE_ID,ORG_PARTY_ID,PARTY_ID,IS_DEBIT_CREDIT,GL_ACCOUNT,IS_POSTED,GL_FISCAL_TYPE_ID,TRANS_DESCRIPTION,TRANS_TYPE_DESCRIPTION,INVENTORY_ITEM_ID,PRODUCT_NAME,CURRENCY_UOM_ID,GL_ACCOUNT_TYPE_ID,ACCOUNT_CODE,ACCOUNT_NAME,RECONCILE_STATUS_ID,GL_ACCOUNT_CLASS_ID,GROUP_NAME,DOCUMENT_TYPE,BATCH_ID,RATE_TYPE_ID,EXCHANGE_RATE,U_OF_M,SITE_ID,QUANTITY,UNIT_PRICE
38428,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44484,M-5-P-0-1-0,15.00,09/30/18,33018,BILL_TO_CUSTOMER,Company,186,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,2,7.50
38428,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44484,M-5-P-0-2-0,7.50,09/30/18,33018,BILL_TO_CUSTOMER,Company,186,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,7.50
38428,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44484,M-5-P-0-3-0,42.00,09/30/18,33018,BILL_TO_CUSTOMER,Company,186,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,4,10.50
38429,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44485,M-5-P-0-2-0,63.00,09/30/18,33019,BILL_TO_CUSTOMER,Company,1571,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,6,10.50
38430,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44486,M-5-P-0-2-0,712.32,09/30/18,33020,BILL_TO_CUSTOMER,Company,1581,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,96,7.42
38430,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44486,M-5-P-0-1-0,232.50,09/30/18,33020,BILL_TO_CUSTOMER,Company,1581,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,31,7.50
38430,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44486,M-5-P-0-3-0,1533.00,09/30/18,33020,BILL_TO_CUSTOMER,Company,1581,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,146,10.50
38431,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44487,M-5-P-0-2-0,1561.80,09/30/18,33021,BILL_TO_CUSTOMER,Company,1583,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,228,6.85
38432,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44488,M-5-P-0-2-0,1702.80,09/30/18,33022,BILL_TO_CUSTOMER,Company,1584,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,264,6.45
38432,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44488,M-5-P-0-1-0,734.16,09/30/18,33022,BILL_TO_CUSTOMER,Company,1584,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,114,6.44
