"A1000043888A18","-92","67","2018-07-25 01:58:50"
"A1000043888A18","-98","54","2018-07-25 15:26:23"
"A1000043888A18","-98","54","2018-07-25 15:32:54"
"A1000043888A18","-95","61","2018-07-26 03:40:13"
"A1000043888A18","-93","64","2018-07-26 03:40:16"
"A1000043888A18","-95","61","2018-07-26 11:37:12"
"A1000043888A18","-98","54","2018-07-26 11:37:30"
"A1000043888A18","-84","83","2018-07-27 03:26:15"
"A1000043888A18","-90","70","2018-07-27 07:45:08"
"A1000043888A18","-98","54","2018-07-27 07:59:31"
"A1000043888A18","-98","54","2018-07-27 09:02:35"
"A1000043888A18","-98","54","2018-07-27 11:29:29"
"A1000043888A18","-95","61","2018-07-27 15:32:51"
"A1000043888A18","-98","54","2018-07-27 15:39:34"
"A1000043888A18","-98","54","2018-07-27 18:00:59"
"A1000043888A18","-98","54","2018-07-27 18:06:19"
"A1000043888A18","-98","54","2018-07-27 19:19:58"
"A1000043888A18","-98","54","2018-07-27 19:27:04"
"A1000043888A18","-95","61","2018-07-28 03:55:03"
"A1000043888A18","-84","83","2018-07-28 06:49:20"
"A1000043888A18","-84","83","2018-07-28 06:55:57"
"A1000043888A18","-93","64","2018-07-28 23:22:04"
"A1000043888A18","-98","54","2018-07-29 00:45:59"
"A1000043888A18","-98","54","2018-07-29 03:26:13"
"A1000043888A18","-95","61","2018-07-29 14:41:50"
"A1000043888A18","-95","61","2018-07-29 14:50:16"
"A1000043888A18","-98","54","2018-07-30 03:19:55"
"A1000043888A18","-95","61","2018-07-30 11:32:05"
"A1000043888A18","-95","61","2018-07-30 11:39:46"
"A1000043888A18","-95","61","2018-07-30 14:39:50"
"A1000043888A18","-98","54","2018-07-31 01:38:01"
"A1000043888A18","-98","54","2018-07-31 16:41:19"
"A1000043888A18","-98","54","2018-07-31 16:45:21"
